ENODEB_ID,CELL_ID,INDOOR,ENODEB_TYPE,PU_ID,NBR_DISTANCE_VORONOI,SITE_DENSITY_TYPE,SERVING_TYPE,ANTENNA_ID,LONGITUDE,LATITUDE,AZIMUTH,BEAMWIDTH_H,PATHLOSS_DISTANCE,FINAL_DISTANCE
123097,22,0,1,9106,2525.68,4,0,1,6.782029,47.076163,60,72,2811,15239.34
123097,21,0,1,9106,2643.32,4,0,1,6.782029,47.076163,320,72,2811,13973.77
123097,2,0,1,9106,2525.68,4,0,1,6.782029,47.076163,60,76,754,15239.34
123097,1,0,1,9106,2643.32,4,0,1,6.782029,47.076163,320,76,1360,13973.77
123096,43,0,1,9106,480.76,1,0,1,6.9112,46.986634,300,67,558,1715.99
123096,42,0,1,9106,501.1,1,0,1,6.9112,46.986634,200,70,536,10167.78
123096,41,0,1,9106,486.45,1,0,1,6.9112,46.986634,50,66,550,10170.99
123096,33,0,1,9106,480.76,1,0,1,6.9112,46.986634,300,66,479,1715.99
123096,32,0,1,9106,501.1,1,0,1,6.9112,46.986634,200,64,477,10167.78
123096,31,0,1,9106,486.45,1,0,1,6.9112,46.986634,50,68,469,10170.99
123096,3,0,1,9106,480.76,1,0,1,6.9112,46.986634,300,66,625,1715.99
10260,42,0,1,9105,3689.34,5,0,1,8.10171,47.437115000000006,90,73,1018,9740.76
10260,3,0,1,9105,3992.68,5,0,1,8.10171,47.437115000000006,190,73,1256,8613.94
123039,3,0,1,9106,2087.58,3,0,1,6.835094000000001,46.971038,180,76,1669,5184.24
10260,23,0,1,9105,3992.68,5,0,1,8.10171,47.437115000000006,190,68,2036,8613.94
123505,22,0,1,9108,7158.9,5,0,1,9.161769,46.986018,165,78,2990,15667.28
123505,21,0,1,9108,7495.5,5,0,1,9.161769,46.986018,280,78,2990,16643.45
123505,2,0,1,9108,7158.9,5,0,1,9.161769,46.986018,165,77,1470,15667.28
123505,1,0,1,9108,7495.5,5,0,1,9.161769,46.986018,280,77,1470,16643.45
123502,43,0,1,9108,2262.98,3,0,1,9.070062,47.126067,180,81,1174,9551.15
123502,42,0,1,9108,1665.43,3,0,1,9.070062,47.126067,90,81,1174,9562.71
123502,41,0,1,9108,922.62,2,0,1,9.070062,47.126067,300,81,1080,7136.58
123502,3,0,1,9108,2262.98,3,0,1,9.070062,47.126067,180,76,1231,9551.15
123502,23,0,1,9108,2262.98,3,0,1,9.070062,47.126067,180,72,2753,9551.15
123502,22,0,1,9108,1665.43,3,0,1,9.070062,47.126067,90,72,2753,9562.71
123502,21,0,1,9108,922.62,2,0,1,9.070062,47.126067,300,72,2560,7136.58
123502,2,0,1,9108,1665.43,3,0,1,9.070062,47.126067,90,76,1231,9562.71
123502,1,0,1,9108,922.62,2,0,1,9.070062,47.126067,300,76,1134,7136.58
10260,1,0,1,9105,4047.77,5,0,1,8.10171,47.437115000000006,320,73,1263,9782.66
10260,2,0,1,9105,3689.34,5,0,1,8.10171,47.437115000000006,90,73,1263,9740.76
10260,21,0,1,9105,4047.77,5,0,1,8.10171,47.437115000000006,320,68,2036,9782.66
10260,22,0,1,9105,3689.34,5,0,1,8.10171,47.437115000000006,90,68,2036,9740.76
123096,2,0,1,9106,501.1,1,0,1,6.9112,46.986634,200,64,623,10167.78
123096,1,0,1,9106,486.45,1,0,1,6.9112,46.986634,50,67,621,10170.99
10487,1,0,1,9105,3858.08,5,0,1,8.350878,47.394867,310,66,1210,9723.46
10487,2,0,1,9105,3137.19,4,0,1,8.350878,47.394867,170,66,1167,6815.52
123054,23,0,1,9106,4073.31,5,0,1,7.0342910000000005,47.047583,290,63,2632,13880.16
123054,22,0,1,9106,2411.18,4,0,1,7.0342910000000005,47.047583,190,62,2661,10478.66
123054,21,0,1,9106,3925.4,5,0,1,7.0342910000000005,47.047583,30,62,2747,17170.6
123054,2,0,1,9106,2411.18,4,0,1,7.0342910000000005,47.047583,190,61,1258,10478.66
123054,1,0,1,9106,3925.4,5,0,1,7.0342910000000005,47.047583,30,62,1236,17170.6
123049,43,0,1,9106,2559.54,4,0,1,7.060027000000001,47.061378999999995,240,81,1101,12160.060000000001
123049,42,0,1,9106,3312.12,4,0,1,7.060027000000001,47.061378999999995,160,81,1101,11629.27
